,img_label,proc_time,total,level 1,level 2,level 3,level 4,no_patch
0,stripes-4,1.9085102081298828,10.150715579058994,2.345281902453136,1.2409045135756909,3.0649047157623572,3.4996244472678097,7.313751924013179
1,stripes-7,3.285299301147461,16.701920661730117,3.8709018579103254,6.0070783411868796,6.823940462632913,,6.846876293937779
2,stripes-9,2.7562100887298584,22.11191609828716,3.572436225078693,6.1325493646294875,3.738631048559722,8.66829946001926,9.300667556215386
3,stripes-3,1.9260787963867188,15.13897552260481,0.7142739225691224,2.8520284496722166,5.9626387187687255,5.610034431594744,7.252716474427791
4,stripes-8,1.876718282699585,11.524261638306138,3.7486131553800064,6.177802240859682,1.5978462420664497,,6.703903635099241
stds,,0.6400015311130437,4.71732687405314,1.3404967444360238,2.2960525675928087,2.136433928085603,2.598782300535914,1.0484790857515458
means,,2.350563335418701,15.125557899997442,2.850301412678257,4.482072581984792,4.237592237558033,5.925986112960604,7.4835831767386765
